model,ins_id,param_id,length,format,correct,ori,total_score
Meta-Llama-3.1-8B,0,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,1,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,3,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,4,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,5,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,1,1,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,3,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,4,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,5,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,1,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,3,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,4,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,5,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,3,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,1,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,3,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,3,4,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,3,5,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,0,3,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,1,3,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,3,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,4,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,5,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,1,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,3,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,4,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,5,5,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,6,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,1,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,6,3,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,6,4,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,5,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,7,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,7,1,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,7,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,7,3,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,7,4,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,7,5,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,1,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,3,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,4,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,5,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,9,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,1,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,9,3,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,9,4,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,5,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,10,0,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,10,1,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,10,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,10,3,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,10,4,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,10,5,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,11,0,3,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,1,3,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,2,3,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,3,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,11,4,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,11,5,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,1,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,4,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,1,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,1,1,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,1,4,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,1,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,4,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,2,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,1,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,4,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,3,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,4,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,4,1,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,4,4,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,1,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,4,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,5,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,1,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,2,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,3,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,6,4,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,6,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,7,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,7,1,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,7,2,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,7,3,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,7,4,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,7,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,1,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,2,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,3,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,4,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,1,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,2,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,3,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,9,4,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,9,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,10,0,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,10,1,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,10,2,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,10,3,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,10,4,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,10,5,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,11,0,6,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,1,6,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,2,6,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,3,6,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,4,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,11,5,6,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,0,0,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,0,1,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,0,2,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,0,3,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,4,13,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,0,5,13,0.2,1.0,1.0,0.8
Meta-Llama-3.1-8B,1,0,13,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,1,13,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,2,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,1,3,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,1,4,13,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,1,5,13,0.2,1.0,1.0,0.8
Meta-Llama-3.1-8B,2,0,13,0.3,0.0,1.0,0.325
Meta-Llama-3.1-8B,2,1,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,2,2,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,2,3,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,2,4,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,5,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,3,0,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,3,1,13,0.0,1.0,1.0,0.75
Meta-Llama-3.1-8B,3,2,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,3,3,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,4,13,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,3,5,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,0,13,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,1,13,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,2,13,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,3,13,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,4,13,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,5,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,5,0,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,1,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,2,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,3,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,4,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,5,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,6,0,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,6,1,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,6,2,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,6,3,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,6,4,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,6,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,7,0,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,7,1,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,7,2,13,1.0,0.0,1.0,0.5
