model,ins_id,param_id,length,candi_ori,logit_correct,num_doc,format,total_score
Meta-Llama-3.1-8B,0,0,3,1.0,0.6999999999999998,1.0,0.6,0.7928571428571428
Meta-Llama-3.1-8B,0,1,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,0,2,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,0,3,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,0,4,3,1.0,0.5,1.0,0.6,0.75
Meta-Llama-3.1-8B,1,0,3,1.0,0.6,1.0,1.0,0.9142857142857144
Meta-Llama-3.1-8B,1,1,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,1,2,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,1,3,3,1.0,0.6999999999999998,1.0,1.0,0.9357142857142857
Meta-Llama-3.1-8B,1,4,3,1.0,0.5,1.0,1.0,0.8928571428571429
Meta-Llama-3.1-8B,2,0,3,1.0,0.6999999999999998,1.0,0.6,0.7928571428571428
Meta-Llama-3.1-8B,2,1,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,2,2,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,2,3,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,2,4,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,3,0,3,1.0,0.6999999999999998,1.0,0.6,0.7928571428571428
Meta-Llama-3.1-8B,3,1,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,3,2,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,3,3,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,3,4,3,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,4,0,3,1.0,0.6999999999999998,1.0,0.6,0.7928571428571428
Meta-Llama-3.1-8B,4,1,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,4,2,3,1.0,0.5,1.0,0.6,0.75
Meta-Llama-3.1-8B,4,3,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,4,4,3,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,0,0,6,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,0,1,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,0,2,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,0,3,6,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,0,4,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,1,0,6,1.0,0.6,1.0,1.0,0.9142857142857144
Meta-Llama-3.1-8B,1,1,6,1.0,0.3,1.0,1.0,0.85
Meta-Llama-3.1-8B,1,2,6,1.0,0.3,1.0,1.0,0.85
Meta-Llama-3.1-8B,1,3,6,1.0,0.6,1.0,1.0,0.9142857142857144
Meta-Llama-3.1-8B,1,4,6,1.0,0.4000000000000001,1.0,1.0,0.8714285714285713
Meta-Llama-3.1-8B,2,0,6,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,2,1,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,2,2,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,2,3,6,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,2,4,6,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,3,0,6,1.0,0.6,1.0,1.0,0.9142857142857144
Meta-Llama-3.1-8B,3,1,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,3,2,6,1.0,0.3,1.0,1.0,0.85
Meta-Llama-3.1-8B,3,3,6,1.0,0.55,1.0,0.6,0.7607142857142858
Meta-Llama-3.1-8B,3,4,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,4,0,6,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,4,1,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,4,2,6,1.0,0.45,1.0,0.6,0.7392857142857142
Meta-Llama-3.1-8B,4,3,6,1.0,0.6,1.0,0.6,0.7714285714285715
Meta-Llama-3.1-8B,4,4,6,1.0,0.3,1.0,0.6,0.7071428571428572
Meta-Llama-3.1-8B,0,0,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,0,1,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,0,2,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,0,3,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,0,4,13,1.0,0.6888888888888888,1.0,0.6,0.7904761904761904
Meta-Llama-3.1-8B,1,0,13,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,1,1,13,1.0,0.6444444444444445,1.0,0.6,0.780952380952381
Meta-Llama-3.1-8B,1,2,13,0.0,0.0,0.25925925925925924,0.0,0.05555555555555556
Meta-Llama-3.1-8B,1,3,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,1,4,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,2,0,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,2,1,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,2,2,13,1.0,0.6444444444444445,1.0,0.6,0.780952380952381
Meta-Llama-3.1-8B,2,3,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,2,4,13,1.0,0.6888888888888888,1.0,0.6,0.7904761904761904
Meta-Llama-3.1-8B,3,0,13,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,3,1,13,1.0,0.6444444444444445,1.0,0.6,0.780952380952381
Meta-Llama-3.1-8B,3,2,13,1.0,0.6444444444444445,1.0,0.6,0.780952380952381
Meta-Llama-3.1-8B,3,3,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,3,4,13,1.0,0.7111111111111111,1.0,0.6,0.7952380952380952
Meta-Llama-3.1-8B,4,0,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,4,1,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,4,2,13,1.0,0.6444444444444445,1.0,0.6,0.780952380952381
Meta-Llama-3.1-8B,4,3,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,4,4,13,1.0,0.6666666666666666,1.0,0.6,0.7857142857142857
Meta-Llama-3.1-8B,0,0,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,0,1,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,0,2,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,0,3,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,0,4,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,1,0,28,0.0,0.0,0.017006802721088454,0.6081632653061224,0.22084548104956267
Meta-Llama-3.1-8B,1,1,28,0.0,0.0,0.017006802721088454,0.6081632653061224,0.22084548104956267
Meta-Llama-3.1-8B,1,2,28,0.0,0.0,0.017006802721088454,0.6081632653061224,0.22084548104956267
Meta-Llama-3.1-8B,1,3,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,1,4,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,2,0,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,2,1,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,2,2,28,0.0,0.0,0.8163265306122449,1.0,0.532069970845481
Meta-Llama-3.1-8B,2,3,28,0.0,0.0,0.8248299319727891,0.6,0.39103498542274057
Meta-Llama-3.1-8B,2,4,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,3,0,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,3,1,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,3,2,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,3,3,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,3,4,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,4,0,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,4,1,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,4,2,28,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,4,3,28,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,4,28,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,0,60,0.0,0.0,0.0,0.4,0.14285714285714285
Meta-Llama-3.1-8B,0,1,60,0.0,0.0,0.0,0.4,0.14285714285714285
