model,ins_id,param_id,length,correct,num_text,ori,format,total_score
Meta-Llama-3.1-8B,0,0,3,1.0,0.0,1.0,0.7,0.675
Meta-Llama-3.1-8B,0,1,3,0.75,0.5333333333333334,0.0,0.5,0.4083333333333334
Meta-Llama-3.1-8B,0,2,3,0.0,0.5333333333333334,0.5,0.6,0.4333333333333334
Meta-Llama-3.1-8B,0,3,3,0.0,1.0,0.0,0.6,0.4
Meta-Llama-3.1-8B,0,4,3,0.0,0.5333333333333334,0.5,0.6,0.4333333333333334
Meta-Llama-3.1-8B,1,0,3,1.0,0.0,1.0,0.7,0.675
Meta-Llama-3.1-8B,1,1,3,0.0,1.0,0.9500000000000001,1.0,0.7849999999999999
Meta-Llama-3.1-8B,1,2,3,1.0,1.0,0.9,1.0,0.97
Meta-Llama-3.1-8B,1,3,3,0.0,1.0,0.5,1.0,0.65
Meta-Llama-3.1-8B,1,4,3,0.375,1.0,1.0,1.0,0.875
Meta-Llama-3.1-8B,2,0,3,0.4375,0.0,1.0,0.7,0.5625
Meta-Llama-3.1-8B,2,1,3,0.75,1.0,1.0,1.0,0.95
Meta-Llama-3.1-8B,2,2,3,0.875,0.0,1.0,0.7,0.65
Meta-Llama-3.1-8B,2,3,3,0.0,1.0,1.0,1.0,0.8
Meta-Llama-3.1-8B,2,4,3,0.0,0.5333333333333334,0.5,0.8,0.4833333333333334
Meta-Llama-3.1-8B,3,0,3,1.0,0.0,1.0,0.7,0.675
Meta-Llama-3.1-8B,3,1,3,0.0,1.0,1.5,1.0,0.95
Meta-Llama-3.1-8B,3,2,3,0.0,0.5333333333333334,0.5,0.6,0.4333333333333334
Meta-Llama-3.1-8B,3,3,3,0.0,1.0,1.0,1.0,0.8
Meta-Llama-3.1-8B,3,4,3,0.0,0.5333333333333334,0.5,0.6,0.4333333333333334
Meta-Llama-3.1-8B,4,0,3,0.0,0.5333333333333334,0.5,1.0,0.5333333333333334
Meta-Llama-3.1-8B,4,1,3,0.0,1.0,0.4166666666666667,1.0,0.625
