model,ins_id,param_id,length,format,correct,order,ori,total_score
Meta-Llama-3.1-8B,0,0,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,1,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,2,3,0.0,0.125,0.0,0.0,0.03571428571428571
Meta-Llama-3.1-8B,0,3,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,4,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,0,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,1,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,2,3,1.0,0.125,0.0,0.0,0.32142857142857145
Meta-Llama-3.1-8B,1,3,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,4,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,0,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,1,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,2,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,3,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,4,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,3,0,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,3,1,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,3,2,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,3,3,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,3,4,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,0,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,1,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,2,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,3,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,4,3,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,0,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,1,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,2,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,3,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,4,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,0,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,1,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,2,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,3,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,4,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,0,6,0.0,0.125,1.0,1.0,0.4642857142857143
Meta-Llama-3.1-8B,2,1,6,0.0,0.125,1.0,1.0,0.4642857142857143
Meta-Llama-3.1-8B,2,2,6,0.25,0.125,0.0,0.0,0.10714285714285714
Meta-Llama-3.1-8B,2,3,6,0.25,0.125,0.0,0.0,0.10714285714285714
Meta-Llama-3.1-8B,2,4,6,0.0,0.125,1.0,1.0,0.4642857142857143
Meta-Llama-3.1-8B,3,0,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,3,1,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,3,2,6,0.25,0.125,0.0,0.0,0.10714285714285714
Meta-Llama-3.1-8B,3,3,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,3,4,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,0,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,1,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,2,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,3,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,4,6,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,0,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,1,13,0.0,0.125,0.0,0.0,0.03571428571428571
Meta-Llama-3.1-8B,0,2,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,3,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,4,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,0,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,1,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,2,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,3,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,4,13,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,0,13,0.0,0.125,0.0,0.0,0.03571428571428571
Meta-Llama-3.1-8B,2,1,13,0.0,0.125,0.0,0.0,0.03571428571428571
Meta-Llama-3.1-8B,2,2,13,0.0,0.125,0.0,0.0,0.03571428571428571
Meta-Llama-3.1-8B,2,3,13,0.0,0.125,0.0,0.0,0.03571428571428571
Meta-Llama-3.1-8B,2,4,13,0.0,0.125,0.0,0.0,0.03571428571428571
