model,ins_id,param_id,length,format,ori,hit,num,correct,total_score
Meta-Llama-3.1-8B,0,0,3,1.0,1.0,0.75,0.5833333333333334,0.5,0.7380952380952381
Meta-Llama-3.1-8B,0,1,3,0.16666666666666666,1.0,0.25,0.0,0.0,0.21428571428571427
Meta-Llama-3.1-8B,0,2,3,1.0,1.0,1.0,1.0,0.25,0.8392857142857143
Meta-Llama-3.1-8B,0,3,3,0.9649122807017543,1.0,0.0,0.0,0.0,0.3496240601503759
Meta-Llama-3.1-8B,0,4,3,1.0,1.0,1.0,1.0,0.5,0.8928571428571429
Meta-Llama-3.1-8B,1,0,3,0.4444444444444444,1.0,0.3333333333333333,0.08333333333333333,0.0,0.3095238095238095
Meta-Llama-3.1-8B,1,1,3,1.0,1.0,0.5833333333333334,0.5833333333333334,0.5,0.7142857142857143
Meta-Llama-3.1-8B,1,2,3,1.0,1.0,0.75,0.5833333333333334,0.75,0.7916666666666667
Meta-Llama-3.1-8B,1,3,3,1.0,1.0,0.5,0.5833333333333334,0.0,0.5952380952380952
Meta-Llama-3.1-8B,1,4,3,1.0,1.0,0.75,0.5833333333333334,0.75,0.7916666666666667
Meta-Llama-3.1-8B,2,0,3,0.0,1.0,0.9166666666666666,0.25,0.0,0.34523809523809523
Meta-Llama-3.1-8B,2,1,3,0.0,1.0,1.0,0.25,0.0,0.35714285714285715
Meta-Llama-3.1-8B,2,2,3,0.0,1.0,0.3333333333333333,0.0,0.0,0.19047619047619047
Meta-Llama-3.1-8B,2,3,3,0.16666666666666666,1.0,1.0,0.25,0.0,0.39285714285714285
Meta-Llama-3.1-8B,2,4,3,0.0,1.0,1.0,0.25,0.0,0.35714285714285715
Meta-Llama-3.1-8B,3,0,3,0.990990990990991,1.0,0.0,0.0,0.0,0.3552123552123552
Meta-Llama-3.1-8B,3,1,3,0.0,1.0,0.9375,0.25,0.0,0.3482142857142857
Meta-Llama-3.1-8B,3,2,3,0.3333333333333333,1.0,0.0,0.25,0.0,0.2857142857142857
Meta-Llama-3.1-8B,3,3,3,0.0,1.0,1.0,0.25,0.0,0.35714285714285715
Meta-Llama-3.1-8B,3,4,3,1.0,1.0,1.0,1.0,0.5,0.8928571428571429
